image_id,width,height,class,xmin,ymin,xmax,ymax,fold,bbox_area,nboxes
CANNES_TILES_512x512.1559.png,512,512,pool,38,295,79,344,0,80.36000000000001,1
CANNES_TILES_512x512.1559.png,512,512,pool,92,71,113,95,0,20.160000000000004,1
CANNES_TILES_512x512.1559.png,512,512,pool,5,25,31,40,0,15.600000000000001,1
CANNES_TILES_512x512.1752.png,512,512,pool,21,59,48,91,2,34.56,1
CANNES_TILES_512x512.587.png,424,512,pool,87,290,122,349,0,82.60000000000001,1
CANNES_TILES_512x512.587.png,424,512,pool,181,230,209,280,0,56.00000000000001,1
CANNES_TILES_512x512.587.png,424,512,pool,269,331,311,393,0,104.16000000000001,1
CANNES_TILES_512x512.1628.png,512,512,pool,12,361,39,386,0,27.0,1
CANNES_TILES_512x512.1628.png,512,512,pool,140,88,187,119,0,58.28,1
CANNES_TILES_512x512.1628.png,512,512,pool,390,133,420,179,0,55.2,1
CANNES_TILES_512x512.1628.png,512,512,pool,20,51,63,90,0,67.08,1
CANNES_TILES_512x512.47.png,512,512,pool,137,1,190,50,1,103.88000000000002,1
CANNES_TILES_512x512.47.png,512,512,pool,387,168,459,217,1,141.12,1
CANNES_TILES_512x512.47.png,512,512,pool,480,1,512,36,1,44.800000000000004,1
CANNES_TILES_512x512.47.png,512,512,pool,499,380,512,405,1,13.0,1
CANNES_TILES_512x512.1371.png,424,512,pool,231,205,281,243,2,76.0,1
CANNES_TILES_512x512.1371.png,424,512,pool,342,69,383,104,2,57.400000000000006,1
CANNES_TILES_512x512.93.png,512,512,pool,437,214,486,277,2,123.48000000000002,1
CANNES_TILES_512x512.213.png,512,512,pool,79,329,140,367,1,92.72000000000001,1
CANNES_TILES_512x512.213.png,512,512,pool,416,466,484,508,1,114.24000000000002,1
CANNES_TILES_512x512.213.png,512,512,pool,304,458,347,508,1,86.0,1
CANNES_TILES_512x512.213.png,512,512,pool,167,224,238,269,1,127.80000000000001,1
CANNES_TILES_512x512.213.png,512,512,pool,223,44,315,86,1,154.56000000000003,1
CANNES_TILES_512x512.213.png,512,512,pool,13,5,32,24,1,14.440000000000001,1
CANNES_TILES_512x512.213.png,512,512,pool,502,76,512,125,1,19.6,1
CANNES_TILES_512x512.159.png,512,512,pool,1,328,48,409,2,152.28,1
CANNES_TILES_512x512.635.png,512,512,pool,433,343,490,387,1,100.32000000000001,1
CANNES_TILES_512x512.635.png,512,512,pool,399,186,442,241,1,94.6,1
